id;descricao;inicio;fim;tipo_calendario_id;dre_id_eol;ue_id_eol;status;criado_em;bimestre
1;Regularização do 2º bimestre;2016-01-27 00:00:00.000;2016-02-05 00:00:00.000;2;108200;019421;1;2016-01-27 16:51:42.880;2
2;Regularização do 3º bimestre;2016-01-27 00:00:00.000;2016-02-05 00:00:00.000;2;108200;019421;1;2016-01-27 16:54:32.617;3
3;Regularização do 4º bimestre;2016-01-27 00:00:00.000;2016-02-05 00:00:00.000;2;108200;019421;1;2016-01-27 16:56:54.057;4
4;1º BIMESTRE;2016-03-17 00:00:00.000;2016-03-22 00:00:00.000;2;108200;019421;1;2016-03-17 14:13:26.893;1
5;2º BIMESTRE;2016-03-17 00:00:00.000;2016-03-22 00:00:00.000;2;108200;019421;1;2016-03-17 14:16:06.303;2
6;3º BIMESTRE;2016-03-17 00:00:00.000;2016-03-22 00:00:00.000;2;108200;019421;1;2016-03-17 14:17:01.547;3
7;Retificação do fechamento Final;2016-01-06 00:00:00.000;2016-01-28 00:00:00.000;2;108400;099783;1;2016-01-06 17:01:02.170;4
8;RETIFICAÇÃO DO 4º BIMESTRE;2016-03-01 00:00:00.000;2016-03-22 00:00:00.000;2;109100;093181;1;2016-03-02 13:48:51.767;4
9;reabertura;2016-07-14 00:00:00.000;2016-07-29 00:00:00.000;2;108200;019283;1;2016-07-14 11:59:30.117;4
10;reabertura 1º bim;2016-07-14 00:00:00.000;2016-07-29 00:00:00.000;2;108200;019283;1;2016-07-14 14:17:34.677;1
11;correção de pendências 1º bim;2016-07-11 00:00:00.000;2016-07-29 00:00:00.000;2;108600;094617;1;2016-07-27 19:47:07.330;1
12;correção de pendências 3º bim;2016-07-11 00:00:00.000;2016-07-29 00:00:00.000;2;108600;094617;1;2016-07-27 19:49:10.673;3
13;correção de pendências 4º bim;2016-07-11 00:00:00.000;2016-07-29 00:00:00.000;2;108600;094617;1;2016-07-27 19:50:09.923;4
14;RETIFICAÇÃO 1º BIMESTRE 2015;2016-07-29 00:00:00.000;2016-07-29 00:00:00.000;2;108300;019254;1;2016-07-29 11:54:28.363;1
15;RETIFICAÇÃO 3º BIMESTRE 2015;2016-07-29 00:00:00.000;2016-07-29 00:00:00.000;2;108300;019254;1;2016-07-29 12:00:11.680;3
16;RETIFICAÇÃO 4º BIMESTRE 2015;2016-07-29 00:00:00.000;2016-07-29 00:00:00.000;2;108300;019254;1;2016-07-29 12:01:01.667;4
17;Retificação 3º bimestre 2015;2016-07-29 00:00:00.000;2016-07-29 00:00:00.000;2;108300;019276;1;2016-07-29 09:24:39.757;3
18;Abertura de fechamento do 4º bimestre;2016-07-11 00:00:00.000;2016-07-29 00:00:00.000;2;108300;019243;1;2016-07-20 12:04:21.693;4
19;Abertura do fechamento do 1º bimestre;2016-07-25 00:00:00.000;2016-07-29 00:00:00.000;2;108300;019243;1;2016-07-25 11:11:05.087;1
20;Abertura de fechamento do 3º bimestre;2016-07-11 00:00:00.000;2016-07-29 00:00:00.000;2;108300;019243;1;2016-07-20 13:16:39.787;3
21;retificações 4º bimestre;2016-07-20 00:00:00.000;2016-07-29 00:00:00.000;2;108600;095028;1;2016-07-20 12:41:11.027;4
22;Retificações do 4º bimestre;2016-07-15 00:00:00.000;2016-07-29 00:00:00.000;2;108600;095028;1;2016-07-15 07:59:01.973;4
23;Retificação 1º bimestre 2015;2016-07-15 00:00:00.000;2016-07-29 00:00:00.000;2;108600;095028;1;2016-07-15 09:45:46.550;1
24;retificações 3º bimestre;2016-07-15 00:00:00.000;2016-07-29 00:00:00.000;2;108600;095028;1;2016-07-15 10:11:13.180;3
25;Retificação 3º bimestre 2015;2016-07-15 00:00:00.000;2016-07-29 00:00:00.000;2;108600;095028;1;2016-07-15 11:36:18.203;3
26;retificações 4º bimestre 2015;2016-07-15 00:00:00.000;2016-07-29 00:00:00.000;2;108600;095028;1;2016-07-15 11:37:25.423;4
27;Retificação 4 b;2016-07-14 00:00:00.000;2016-07-29 00:00:00.000;2;108200;093092;1;2016-07-14 15:14:28.860;4
28;Retificação 3b;2016-07-14 00:00:00.000;2016-07-29 00:00:00.000;2;108200;093092;1;2016-07-14 15:35:56.157;3
29;Retificação 1b;2016-07-14 00:00:00.000;2016-07-29 00:00:00.000;2;108200;093092;1;2016-07-14 15:37:03.520;1
30;Fechamento do 1º bimestre retificação 2016;2016-07-26 00:00:00.000;2016-07-29 00:00:00.000;2;108300;019291;1;2016-07-26 14:39:46.180;1
31;Fechamento do 3º bimestre retificação 2016;2016-07-26 00:00:00.000;2016-07-29 00:00:00.000;2;108300;019291;1;2016-07-26 14:41:16.233;3
32;Fechamento do 4º bimestre retificação 2016;2016-07-26 00:00:00.000;2016-07-29 00:00:00.000;2;108300;019291;1;2016-07-26 14:41:50.780;4
33;Retificação do 1º Bimestre 2015;2016-11-08 00:00:00.000;2016-11-09 00:00:00.000;2;108300;019291;1;2016-11-08 12:09:49.070;1
34;Retificação do 2º Bimestre 2015;2016-11-08 00:00:00.000;2016-11-09 00:00:00.000;2;108300;019291;1;2016-11-08 12:10:55.590;2
35;Retificação do 3º Bimestre 2015;2016-11-08 00:00:00.000;2016-11-09 00:00:00.000;2;108300;019291;1;2016-11-08 12:11:23.373;3
36;Correções SGP;2016-04-13 00:00:00.000;2016-04-17 00:00:00.000;2;108800;094714;1;2016-04-13 15:30:15.763;3
37;FECHAMENTO 3º BIM - CORREÇÃO DE COMPENSAÇÕES;2016-04-14 00:00:00.000;2016-04-17 00:00:00.000;2;108800;094714;1;2016-04-14 15:06:02.043;3
38;FECHAMENTO 4º BIMESTRE - correções m 2016;2016-04-14 00:00:00.000;2016-04-17 00:00:00.000;2;108800;094714;1;2016-04-14 15:34:42.283;4
39;FECHAMENTO 4ºB (Extemporâneo);2016-10-26 00:00:00.000;2016-10-28 00:00:00.000;2;108800;094714;1;2016-10-28 12:19:52.363;4
40;CORREÇÕES 4º Bim. - Comp. de Ausências;2016-07-29 00:00:00.000;2016-07-29 00:00:00.000;2;108800;094714;1;2016-07-29 15:17:07.197;4
41;Retificação do 4º Bimestre;2016-02-02 00:00:00.000;2016-02-05 00:00:00.000;2;109100;093157;1;2016-02-04 11:39:27.863;4
42;Fechamento do 1º bimestre;2016-07-26 00:00:00.000;2016-07-29 00:00:00.000;2;108600;095371;1;2016-07-26 17:32:37.057;1
43;Fechamento do 3º bimestre;2016-07-27 00:00:00.000;2016-07-29 00:00:00.000;2;108600;095371;1;2016-07-27 11:58:47.793;3
44;Fechamento do 4º bimestre;2016-07-27 00:00:00.000;2016-07-29 00:00:00.000;2;108600;095371;1;2016-07-27 12:01:38.577;4
